trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
47,0,47,0,190.45881679980084,,,,,,,,,190.44370179995894,190.45881679980084,190.95942150009796,191.45992380008101,192.46107239974663,192.44489679997787,192.44491569977254,192.46107239974663,194.4629890997894,194.44683180004358,"['q', 'o']","[0.34868199983611703, 0.6116690998896956]","[0.0742174000479281, 0.0794786000624299]",1,QOTM,"['q', 'o']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
48,0,48,0,194.4629890997894,,,,,,,,,194.44853959977627,194.4629890997894,194.96367379976436,195.46436059987172,196.4651830000803,196.44969670008868,196.44971199985594,196.4651830000803,198.4675333001651,198.4515591999516,['e'],[0.46264850022271276],[0.08276129979640245],0,XPWI,['e'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
49,0,49,0,198.4675333001651,,,,,,,,,198.45238680019975,198.4675333001651,198.96826389990747,199.4522834001109,200.45298849977553,200.43713629990816,200.43715160014108,200.45298849977553,202.45524769974872,202.43980740010738,['r'],[0.9380801999941468],[0.10750090004876256],0,QKYU,['r'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
50,0,50,0,202.45524769974872,,,,,,,,,202.44106560014188,202.45524769974872,202.9561626999639,203.45646690018475,204.4577568997629,204.4416311001405,204.4416467999108,204.4577568997629,206.45975250005722,206.44377319980413,"['i', 'l']","[0.31056710006669164, 0.8504727003164589]","[0.0755358999595046, 0.05946319969370961]",1,OHNA,"['i', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
51,0,51,0,206.45975250005722,,,,,,,,,206.44492270005867,206.45975250005722,206.9603006998077,207.46086490014568,208.4620861997828,208.44599079992622,208.44600909994915,208.4620861997828,210.46401689993218,210.4482152001001,"['q', 'l']","[0.5786544000729918, 1.2844339003786445]","[0.08796030003577471, 0.08209289982914925]",2,QDST,"['q', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
52,0,52,0,210.46401689993218,,,,,,,,,210.44932110002264,210.46401689993218,210.9646410997957,211.4657641001977,212.46646089991555,212.4506359999068,212.45065640006214,212.46646089991555,,214.45234999991953,"['a', 'o']","[1.1417730003595352, 1.436133900191635]","[0.09070939989760518, 0.09215410007163882]",1,YAKD,"['a', 'o']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
53,0,53,0,214.46861970005557,,,,,,,,,214.45356740010902,214.46861970005557,214.9693698999472,215.45342339994386,216.45423449994996,216.4383252998814,216.43834109976888,216.45423449994996,218.45620100013912,218.4402276999317,"['p', 'r']","[1.1699010003358126, 1.4953610002994537]","[0.0742064998485148, 0.08549189986661077]",0,RROR,"['p', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
54,0,54,0,218.45620100013912,,,,,,,,,218.44134309981018,218.45620100013912,218.95693780016154,219.45746510010213,220.458815400023,220.44268599990755,220.44270019978285,220.458815400023,222.46100550005212,222.4445258001797,"['f', 'r']","[0.24201619997620583, 0.4312529996968806]","[0.09851299971342087, 0.07601509988307953]",1,FPKX,"['f', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
55,0,55,0,222.46100550005212,,,,,,,,,222.4453348000534,222.46100550005212,222.9614134998992,223.46168980002403,224.46260009985417,224.44691450009122,224.4469296000898,224.46260009985417,226.4649819000624,226.4493229999207,"['e', 'p']","[0.981137600261718, 1.118235600180924]","[0.08760189963504672, 0.0588255999609828]",2,WVIE,"['e', 'p']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
56,0,56,0,226.4649819000624,,,,,,,,,226.45100989984348,226.4649819000624,226.96576370019466,227.46650329977274,228.46725959982723,228.45166100002825,228.4516770998016,228.46725959982723,,230.45311339991167,None,,,0,SUUJ,None,False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
